%index, %time, %length (bits)
0,1438884222.66049790382385253906,8096
1,1438884222.66878151893615722656,8096
2,1438884222.67706131935119628906,8096
3,1438884222.68534255027770996094,8096
4,1438884222.6936473846435546875,8096
5,1438884222.70196676254272460938,8096
6,1438884222.7102832794189453125,8096
7,1438884222.71859884262084960938,8096
8,1438884222.726917266845703125,8096
9,1438884222.73525357246398925781,8096
10,1438884222.74357151985168457031,8096
11,1438884222.75188446044921875,8096
12,1438884222.76013779640197753906,8096
13,1438884222.7683868408203125,8096
14,1438884222.77670955657958984375,8096
15,1438884222.78502559661865234375,8096
16,1438884222.79330778121948242188,8096
17,1438884222.80163812637329101562,8096
18,1438884222.80995321273803710938,8096
19,1438884222.81827116012573242188,8096
20,1438884222.82658529281616210938,8096
21,1438884222.83490252494812011719,8096
22,1438884222.84319138526916503906,8096
23,1438884222.85147762298583984375,8096
24,1438884222.85978817939758300781,8096
25,1438884222.868099212646484375,8096
26,1438884222.87640929222106933594,8096
27,1438884222.88472223281860351562,8096
28,1438884222.89306378364562988281,8096
29,1438884222.90141630172729492188,8096
30,1438884222.90972924232482910156,8096
31,1438884222.917995452880859375,8096
32,1438884222.92630910873413085938,8096
33,1438884222.93465733528137207031,8096
34,1438884222.94297122955322265625,8096
35,1438884222.95129561424255371094,8096
36,1438884222.95960664749145507812,8096
37,1438884222.96791529655456542969,8096
38,1438884222.97622370719909667969,8096
39,1438884222.98452115058898925781,8096
40,1438884222.99283194541931152344,8096
41,1438884223.0011501312255859375,8096
42,1438884223.00936579704284667969,8096
43,1438884223.01758098602294921875,8096
44,1438884223.02579474449157714844,8096
45,1438884223.03401589393615722656,8096
46,1438884223.04221129417419433594,8096
47,1438884223.05043268203735351562,8096
48,1438884223.05863070487976074219,8096
49,1438884223.06685876846313476562,8096
50,1438884223.08090233802795410156,8096
51,1438884223.08914732933044433594,8096
52,1438884223.09732842445373535156,8096
53,1438884223.1055088043212890625,8096
54,1438884223.11375951766967773438,8096
55,1438884223.12198996543884277344,8096
56,1438884223.13017511367797851562,8096
57,1438884223.13835477828979492188,8096
58,1438884223.14653468132019042969,8096
59,1438884223.15470027923583984375,8096
60,1438884223.16299176216125488281,8096
61,1438884223.17138648033142089844,8096
62,1438884223.17980742454528808594,8096
63,1438884223.1883182525634765625,8096
64,1438884223.1967601776123046875,8096
65,1438884223.20517015457153320312,8096
66,1438884223.21335911750793457031,8096
67,1438884223.2215728759765625,8096
68,1438884223.22977519035339355469,8096
69,1438884223.23796892166137695312,8096
70,1438884223.24617242813110351562,8096
71,1438884223.25436830520629882812,8096
72,1438884223.26256966590881347656,8096
73,1438884223.27075433731079101562,8096
74,1438884223.27893471717834472656,8096
75,1438884223.28713059425354003906,8096
76,1438884223.2953243255615234375,8096
77,1438884223.30351805686950683594,8096
78,1438884223.31172204017639160156,8096
79,1438884223.31991982460021972656,8096
80,1438884223.32809734344482421875,8096
81,1438884223.33631253242492675781,8096
82,1438884223.34451842308044433594,8096
83,1438884223.3527050018310546875,8096
84,1438884223.36092638969421386719,8096
85,1438884223.36915469169616699219,8096
86,1438884223.37736916542053222656,8096
87,1438884223.38557910919189453125,8096
88,1438884223.39377450942993164062,8096
89,1438884223.40197825431823730469,8096
90,1438884223.41017794609069824219,8096
91,1438884223.41837430000305175781,8096
92,1438884223.42657327651977539062,8096
93,1438884223.43476343154907226562,8096
94,1438884223.44295573234558105469,8096
95,1438884223.45114803314208984375,8096
96,1438884223.45937895774841308594,8096
97,1438884223.46757650375366210938,8096
98,1438884223.47584366798400878906,8096
99,1438884223.48411321640014648438,8096
100,1438884223.4924907684326171875,8096
101,1438884223.50089955329895019531,8096
102,1438884223.50928497314453125,8096
103,1438884223.51764535903930664062,8096
104,1438884223.52585339546203613281,8096
105,1438884223.53404855728149414062,8096
106,1438884223.54224038124084472656,8096
107,1438884223.55042600631713867188,8096
108,1438884223.55859994888305664062,8096
109,1438884223.56676459312438964844,8096
110,1438884223.57506299018859863281,8096
111,1438884223.58323550224304199219,8096
112,1438884223.59137487411499023438,8096
113,1438884223.59950995445251464844,8096
114,1438884223.60767078399658203125,8096
115,1438884223.6158390045166015625,8096
116,1438884223.62399339675903320312,8096
117,1438884223.63234615325927734375,8096
118,1438884223.64063334465026855469,8096
119,1438884223.648960113525390625,8096
120,1438884223.65737414360046386719,8096
121,1438884223.66579198837280273438,8096
122,1438884223.67405819892883300781,8096
123,1438884223.68223738670349121094,8096
124,1438884223.690418243408203125,8096
125,1438884223.69859457015991210938,8096
126,1438884223.70704698562622070312,8096
127,1438884223.71522593498229980469,8096
128,1438884223.72341465950012207031,8096
129,1438884223.73176550865173339844,8096
130,1438884223.73995804786682128906,8096
131,1438884223.74812650680541992188,8096
132,1438884223.75629186630249023438,8096
133,1438884223.76445221900939941406,8096
134,1438884223.77261519432067871094,8096
135,1438884223.78076839447021484375,8096
136,1438884223.78894400596618652344,8096
137,1438884223.79714035987854003906,8096
138,1438884223.80532336235046386719,8096
139,1438884223.81348752975463867188,8096
140,1438884223.82170200347900390625,8096
141,1438884223.82995867729187011719,8096
142,1438884223.83817791938781738281,8096
143,1438884223.84638810157775878906,8096
144,1438884223.8545684814453125,8096
145,1438884223.8627529144287109375,8096
146,1438884223.87099409103393554688,8096
147,1438884223.87921309471130371094,8096
148,1438884223.88741421699523925781,8096
149,1438884223.89569330215454101562,8096
150,1438884223.903919219970703125,8096
151,1438884223.91223812103271484375,8096
152,1438884223.9207172393798828125,8096
153,1438884223.92910408973693847656,8096
154,1438884223.93740797042846679688,8096
155,1438884223.94577693939208984375,8096
156,1438884223.95410370826721191406,8096
157,1438884223.96231865882873535156,8096
158,1438884223.97076487541198730469,8096
159,1438884223.97906160354614257812,8096
160,1438884223.98735475540161132812,8096
161,1438884223.99562311172485351562,8096
162,1438884224.00385236740112304688,8096
163,1438884224.01206159591674804688,8096
164,1438884224.02027964591979980469,8096
165,1438884224.02849817276000976562,8096
166,1438884224.03671407699584960938,8096
167,1438884224.04493212699890136719,8096
168,1438884224.05316448211669921875,8096
169,1438884224.06138348579406738281,8096
170,1438884224.06959962844848632812,8096
171,1438884224.07778334617614746094,8096
172,1438884224.08613443374633789062,8096
173,1438884224.09455275535583496094,8096
174,1438884224.10295248031616210938,8096
175,1438884224.11133646965026855469,8096
176,1438884224.11970376968383789062,8096
177,1438884224.12803959846496582031,8096
178,1438884224.13625693321228027344,8096
179,1438884224.14447712898254394531,8096
180,1438884224.15268778800964355469,8096
181,1438884224.16089463233947753906,8096
182,1438884224.16911602020263671875,8096
183,1438884224.17733597755432128906,8096
184,1438884224.18552494049072265625,8096
185,1438884224.19373798370361328125,8096
186,1438884224.20195746421813964844,8096
187,1438884224.21017527580261230469,8096
188,1438884224.21839451789855957031,8096
189,1438884224.22661423683166503906,8096
190,1438884224.23483633995056152344,8096
191,1438884224.24316573143005371094,8096
192,1438884224.25139689445495605469,8096
193,1438884224.2596187591552734375,8096
194,1438884224.26784038543701171875,8096
195,1438884224.27606248855590820312,8096
196,1438884224.2842807769775390625,8096
197,1438884224.29249501228332519531,8096
198,1438884224.30070996284484863281,8096
199,1438884224.30892515182495117188,8096
200,1438884224.31726765632629394531,8096
201,1438884224.32547450065612792969,8096
202,1438884224.33368325233459472656,8096
203,1438884224.34189581871032714844,8096
204,1438884224.35011148452758789062,8096
205,1438884224.35832619667053222656,8096
206,1438884224.36652970314025878906,8096
207,1438884224.37474942207336425781,8096
208,1438884224.38297867774963378906,8096
209,1438884224.39119648933410644531,8096
210,1438884224.39952254295349121094,8096
211,1438884224.40775370597839355469,8096
212,1438884224.41596913337707519531,8096
213,1438884224.42419195175170898438,8096
214,1438884224.43241190910339355469,8096
215,1438884224.44063067436218261719,8096
216,1438884224.4488506317138671875,8096
217,1438884224.45706963539123535156,8096
218,1438884224.46528768539428710938,8096
219,1438884224.47350668907165527344,8096
220,1438884224.48172593116760253906,8096
221,1438884224.48994112014770507812,8096
222,1438884224.49816131591796875,8096
223,1438884224.50637984275817871094,8096
224,1438884224.51459670066833496094,8096
225,1438884224.52281212806701660156,8096
226,1438884224.53102803230285644531,8096
227,1438884224.53924441337585449219,8096
228,1438884224.54746007919311523438,8096
229,1438884224.55567431449890136719,8096
230,1438884224.56388783454895019531,8096
231,1438884224.57209992408752441406,8096
232,1438884224.58031558990478515625,8096
233,1438884224.58858561515808105469,8096
234,1438884224.59675550460815429688,8096
235,1438884224.60495519638061523438,8096
236,1438884224.61329436302185058594,8096
237,1438884224.62151312828063964844,8096
238,1438884224.62972974777221679688,8096
239,1438884224.63795995712280273438,8096
240,1438884224.64616250991821289062,8096
241,1438884224.65437150001525878906,8096
242,1438884224.66258740425109863281,8096
243,1438884224.67080426216125488281,8096
244,1438884224.67902112007141113281,8096
245,1438884224.68723964691162109375,8096
246,1438884224.69545507431030273438,8096
247,1438884224.70366907119750976562,8096
248,1438884224.71188282966613769531,8096
249,1438884224.72009897232055664062,8096
250,1438884224.72831416130065917969,8096
251,1438884224.73652887344360351562,8096
252,1438884224.74471139907836914062,8096
253,1438884224.75292754173278808594,8096
254,1438884224.76116442680358886719,8096
255,1438884224.76938009262084960938,8096
256,1438884224.7775974273681640625,8096
257,1438884224.78611230850219726562,8096
258,1438884224.79443025588989257812,8096
259,1438884224.80264425277709960938,8096
260,1438884224.81085729598999023438,8096
261,1438884224.81906843185424804688,8096
262,1438884224.82727694511413574219,8096
263,1438884224.83548712730407714844,8096
264,1438884224.84369254112243652344,8096
265,1438884224.8519001007080078125,8096
266,1438884224.86010599136352539062,8096
267,1438884224.86831045150756835938,8096
268,1438884224.87651371955871582031,8096
269,1438884224.8847198486328125,8096
270,1438884224.89292287826538085938,8096
271,1438884224.90125226974487304688,8096
272,1438884224.90945863723754882812,8096
273,1438884224.91766309738159179688,8096
274,1438884224.92586946487426757812,8096
275,1438884224.93407559394836425781,8096
276,1438884224.94227862358093261719,8096
277,1438884224.95048165321350097656,8096
278,1438884224.95868468284606933594,8096
279,1438884224.96686148643493652344,8096
280,1438884224.97506570816040039062,8096
281,1438884224.98326992988586425781,8096
282,1438884224.99147176742553710938,8096
283,1438884224.99967598915100097656,8096
284,1438884225.00797367095947265625,8096
285,1438884225.01626563072204589844,8096
286,1438884225.02455854415893554688,8096
287,1438884225.0328521728515625,8096
288,1438884225.04114699363708496094,8096
289,1438884225.049442291259765625,8096
290,1438884225.05773639678955078125,8096
291,1438884225.06603097915649414062,8096
292,1438884225.07706952095031738281,8096
293,1438884225.08553457260131835938,8096
294,1438884225.09391689300537109375,8096
295,1438884225.1023712158203125,8096
296,1438884225.11088490486145019531,8096
297,1438884225.11939978599548339844,8096
298,1438884225.12776923179626464844,8096
299,1438884225.13604402542114257812,8096
300,1438884225.14431786537170410156,8096
301,1438884225.15262675285339355469,8096
302,1438884225.16092801094055175781,8096
303,1438884225.16922831535339355469,8096
304,1438884225.17752671241760253906,8096
305,1438884225.18583393096923828125,8096
306,1438884225.19411921501159667969,8096
307,1438884225.20242762565612792969,8096
308,1438884225.21073293685913085938,8096
309,1438884225.21902513504028320312,8096
310,1438884225.22739720344543457031,8096
311,1438884225.23570656776428222656,8096
312,1438884225.24400377273559570312,8096
313,1438884225.25231909751892089844,8096
314,1438884225.26072525978088378906,8096
315,1438884225.26904201507568359375,8096
316,1438884225.27726984024047851562,8096
317,1438884225.2855701446533203125,8096
318,1438884225.29387021064758300781,8096
319,1438884225.30222868919372558594,8096
320,1438884225.31055116653442382812,8096
321,1438884225.31879639625549316406,8096
322,1438884225.327167510986328125,8096
323,1438884225.33549022674560546875,8096
324,1438884225.34374380111694335938,8096
325,1438884225.35203766822814941406,8096
326,1438884225.36033201217651367188,8096
327,1438884225.36863756179809570312,8096
328,1438884225.3769588470458984375,8096
329,1438884225.38529038429260253906,8096
330,1438884225.39359593391418457031,8096
331,1438884225.40194463729858398438,8096
332,1438884225.41025018692016601562,8096
333,1438884225.41858720779418945312,8096
334,1438884225.426898956298828125,8096
335,1438884225.43517589569091796875,8096
336,1438884225.44348740577697753906,8096
337,1438884225.45180201530456542969,8096
338,1438884225.46013379096984863281,8096
339,1438884225.46845889091491699219,8096
340,1438884225.47678399085998535156,8096
341,1438884225.48510861396789550781,8096
342,1438884225.49341320991516113281,8096
343,1438884225.50172376632690429688,8096
344,1438884225.51002788543701171875,8096
345,1438884225.51835107803344726562,8096
346,1438884225.52666378021240234375,8096
347,1438884225.53499078750610351562,8096
348,1438884225.54329037666320800781,8096
349,1438884225.55160260200500488281,8096
350,1438884225.55991077423095703125,8096
351,1438884225.56820178031921386719,8096
352,1438884225.576507568359375,8096
353,1438884225.58531355857849121094,8096
354,1438884225.59367275238037109375,8096
355,1438884225.60203909873962402344,8096
356,1438884225.61045670509338378906,8096
357,1438884225.61890482902526855469,8096
358,1438884225.62724232673645019531,8096
359,1438884225.63552999496459960938,8096
360,1438884225.6438274383544921875,8096
361,1438884225.65215277671813964844,8096
362,1438884225.66046214103698730469,8096
363,1438884225.668720245361328125,8096
364,1438884225.67702627182006835938,8096
365,1438884225.68532133102416992188,8096
366,1438884225.69366049766540527344,8096
367,1438884225.70199155807495117188,8096
368,1438884225.710292816162109375,8096
369,1438884225.71859788894653320312,8096
370,1438884225.72694921493530273438,8096
371,1438884225.73522090911865234375,8096
372,1438884225.74355340003967285156,8096
373,1438884225.75183176994323730469,8096
374,1438884225.76013064384460449219,8096
375,1438884225.76838970184326171875,8096
376,1438884225.77668428421020507812,8096
377,1438884225.78499507904052734375,8096
378,1438884225.7932567596435546875,8096
379,1438884225.80155158042907714844,8096
380,1438884225.80981373786926269531,8096
381,1438884225.81802415847778320312,8096
382,1438884225.82629442214965820312,8096
383,1438884225.83457994461059570312,8096
384,1438884225.84287047386169433594,8096
385,1438884225.85116815567016601562,8096
386,1438884225.85946917533874511719,8096
387,1438884225.86777400970458984375,8096
388,1438884225.87606787681579589844,8096
389,1438884225.8844242095947265625,8096
390,1438884225.89274430274963378906,8096
391,1438884225.90105199813842773438,8096
392,1438884225.9093761444091796875,8096
393,1438884225.91769170761108398438,8096
394,1438884225.92610120773315429688,8096
395,1438884225.93439149856567382812,8096
396,1438884225.942714691162109375,8096
397,1438884225.95096802711486816406,8096
398,1438884225.95926070213317871094,8096
399,1438884225.96753239631652832031,8096
400,1438884225.97579979896545410156,8096
401,1438884225.98409199714660644531,8096
402,1438884225.99247097969055175781,8096
403,1438884226.00071477890014648438,8096
404,1438884226.00902223587036132812,8096
405,1438884226.01730036735534667969,8096
406,1438884226.02561473846435546875,8096
407,1438884226.03388833999633789062,8096
408,1438884226.04213619232177734375,8096
409,1438884226.05039572715759277344,8096
410,1438884226.05867505073547363281,8096
411,1438884226.06698346138000488281,8096
412,1438884226.08133959770202636719,8096
413,1438884226.08967185020446777344,8096
414,1438884226.09794473648071289062,8096
415,1438884226.10622549057006835938,8096
416,1438884226.11450266838073730469,8096
417,1438884226.12280797958374023438,8096
418,1438884226.13109707832336425781,8096
419,1438884226.13939118385314941406,8096
420,1438884226.14768648147583007812,8096
421,1438884226.15598344802856445312,8096
422,1438884226.16429162025451660156,8096
423,1438884226.17258405685424804688,8096
424,1438884226.18088006973266601562,8096
425,1438884226.18919706344604492188,8096
426,1438884226.19749903678894042969,8096
427,1438884226.20578789710998535156,8096
428,1438884226.21407961845397949219,8096
429,1438884226.22237634658813476562,8096
430,1438884226.23067212104797363281,8096
431,1438884226.23897957801818847656,8096
432,1438884226.24728631973266601562,8096
433,1438884226.25559163093566894531,8096
434,1438884226.26387858390808105469,8096
435,1438884226.27218508720397949219,8096
436,1438884226.28050780296325683594,8096
437,1438884226.28881216049194335938,8096
438,1438884226.29711747169494628906,8096
439,1438884226.30542039871215820312,8096
440,1438884226.31372308731079101562,8096
441,1438884226.32202625274658203125,8096
442,1438884226.33033490180969238281,8096
443,1438884226.33863687515258789062,8096
444,1438884226.34694004058837890625,8096
445,1438884226.35522818565368652344,8096
446,1438884226.36353349685668945312,8096
447,1438884226.37183022499084472656,8096
448,1438884226.38010692596435546875,8096
449,1438884226.38833737373352050781,8096
450,1438884226.39656710624694824219,8096
451,1438884226.40482664108276367188,8096
452,1438884226.41308498382568359375,8096
453,1438884226.42135715484619140625,8096
454,1438884226.42962408065795898438,8096
455,1438884226.43785977363586425781,8096
456,1438884226.44610929489135742188,8096
457,1438884226.45439434051513671875,8096
458,1438884226.46264219284057617188,8096
459,1438884226.47087049484252929688,8096
460,1438884226.47911620140075683594,8096
461,1438884226.48739600181579589844,8096
462,1438884226.4956722259521484375,8096
463,1438884226.50392413139343261719,8096
464,1438884226.51219677925109863281,8096
465,1438884226.52049374580383300781,8096
466,1438884226.52877473831176757812,8096
467,1438884226.53705692291259765625,8096
468,1438884226.545337677001953125,8096
469,1438884226.55360722541809082031,8096
470,1438884226.56185412406921386719,8096
471,1438884226.5701007843017578125,8096
472,1438884226.57832169532775878906,8096
473,1438884226.58656024932861328125,8096
474,1438884226.59479975700378417969,8096
475,1438884226.60304117202758789062,8096
476,1438884226.611293792724609375,8096
477,1438884226.61954069137573242188,8096
478,1438884226.62778878211975097656,8096
479,1438884226.63603687286376953125,8096
480,1438884226.64430069923400878906,8096
481,1438884226.65256237983703613281,8096
482,1438884226.66079211235046386719,8096
483,1438884226.66904568672180175781,8096
484,1438884226.67731618881225585938,8096
485,1438884226.685573577880859375,8096
486,1438884226.693836212158203125,8096
487,1438884226.70211100578308105469,8096
488,1438884226.71037769317626953125,8096
489,1438884226.71862912178039550781,8096
490,1438884226.72687530517578125,8096
491,1438884226.73512148857116699219,8096
492,1438884226.74336838722229003906,8096
493,1438884226.75160479545593261719,8096
494,1438884226.75985431671142578125,8096
495,1438884226.76812267303466796875,8096
496,1438884226.77638792991638183594,8096
497,1438884226.78465533256530761719,8096
498,1438884226.79292201995849609375,8096
499,1438884226.80120944976806640625,8096
500,1438884226.80948543548583984375,8096
501,1438884226.81776118278503417969,8096
502,1438884226.8260364532470703125,8096
503,1438884226.83431243896484375,8096
504,1438884226.84258818626403808594,8096
505,1438884226.85086488723754882812,8096
506,1438884226.85913848876953125,8096
507,1438884226.86741423606872558594,8096
508,1438884226.87568950653076171875,8096
509,1438884226.8839397430419921875,8096
510,1438884226.89220976829528808594,8096
511,1438884226.90048861503601074219,8096
512,1438884226.90873694419860839844,8096
513,1438884226.91637110710144042969,8096
514,1438884226.92465615272521972656,8096
515,1438884226.932933807373046875,8096
516,1438884226.94121861457824707031,8096
517,1438884226.9494838714599609375,8096
518,1438884226.95774984359741210938,8096
519,1438884226.96601629257202148438,8096
520,1438884226.9742717742919921875,8096
521,1438884226.9825382232666015625,8096
522,1438884226.9908008575439453125,8096
523,1438884226.99906587600708007812,8096
524,1438884230.00931882858276367188,8096
525,1438884230.01951336860656738281,8096
526,1438884230.03074359893798828125,8096
527,1438884230.041973114013671875,8096
528,1438884230.05320072174072265625,8096
529,1438884230.06442975997924804688,8096
530,1438884230.07460427284240722656,8096
531,1438884230.08477115631103515625,8096
532,1438884230.09493803977966308594,8096
533,1438884230.10510373115539550781,8096
534,1438884230.1163654327392578125,8096
535,1438884230.12653779983520507812,8096
536,1438884230.13670253753662109375,8096
537,1438884230.14686894416809082031,8096
538,1438884230.15703368186950683594,8096
539,1438884230.16720438003540039062,8096
540,1438884230.17738628387451171875,8096
541,1438884230.18755221366882324219,8096
542,1438884230.19771933555603027344,8096
543,1438884230.2078876495361328125,8096
544,1438884230.21805238723754882812,8096
545,1438884230.22932004928588867188,8096
546,1438884230.23949646949768066406,8096
547,1438884230.24966120719909667969,8096
548,1438884230.25982832908630371094,8096
549,1438884230.27109527587890625,8096
550,1438884230.28126859664916992188,8096
551,1438884230.29143476486206054688,8096
552,1438884230.3015995025634765625,8096
553,1438884230.31286406517028808594,8096
554,1438884230.32304072380065917969,8096
555,1438884230.33320760726928710938,8096
556,1438884230.34337759017944335938,8096
557,1438884230.35464692115783691406,8096
558,1438884230.36482357978820800781,8096
559,1438884230.37499213218688964844,8096
560,1438884230.38516068458557128906,8096
561,1438884230.39642930030822753906,8096
562,1438884230.4065990447998046875,8096
563,1438884230.41676998138427734375,8096
564,1438884230.42693829536437988281,8096
565,1438884230.43820786476135253906,8096
566,1438884230.448383331298828125,8096
567,1438884230.45855021476745605469,8096
568,1438884230.46980428695678710938,8096
569,1438884230.47997212409973144531,8096
570,1438884230.49014115333557128906,8096
571,1438884230.500308990478515625,8096
572,1438884230.51047801971435546875,8096
573,1438884230.5206432342529296875,8096
574,1438884230.53190898895263671875,8096
575,1438884230.54208421707153320312,8096
576,1438884230.55224919319152832031,8096
577,1438884230.56242012977600097656,8096
578,1438884230.57257151603698730469,8096
579,1438884230.58276486396789550781,8096
580,1438884230.593318939208984375,8096
581,1438884230.60441899299621582031,8096
582,1438884230.61523365974426269531,8096
583,1438884230.62541246414184570312,8096
584,1438884230.63561010360717773438,8096
585,1438884230.64579296112060546875,8096
586,1438884230.65598917007446289062,8096
587,1438884230.66618561744689941406,8096
588,1438884230.67636895179748535156,8096
589,1438884230.68655276298522949219,8096
590,1438884230.69673395156860351562,8096
591,1438884230.70691919326782226562,8096
592,1438884230.71818971633911132812,8096
593,1438884230.72835969924926757812,8096
594,1438884230.73852300643920898438,8096
595,1438884230.74868631362915039062,8096
596,1438884230.75885033607482910156,8096
597,1438884230.76901650428771972656,8096
598,1438884230.77922081947326660156,8096
599,1438884230.78938794136047363281,8096
600,1438884230.79955220222473144531,8096
601,1438884230.80971741676330566406,8096
602,1438884230.81988549232482910156,8096
603,1438884230.83006310462951660156,8096
604,1438884230.84022736549377441406,8096
605,1438884230.85039186477661132812,8096
606,1438884230.86056971549987792969,8096
607,1438884230.87072467803955078125,8096
608,1438884230.88090538978576660156,8096
609,1438884230.89107465744018554688,8096
610,1438884230.9012451171875,8096
611,1438884230.91141748428344726562,8096
612,1438884230.92158770561218261719,8096
